epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.757452,1.19876,2.87636,1.28729,0.005,1,0.49116,0.41299,0.43522,2.56691,1.08234,0,0,0
2,0.891581,1.45016,2.89861,1.33385,0.005,1,0.52115,0.4292,0.43733,2.56772,1.08808,1.9802e-05,1.9802e-05,1.9802e-05
3,1.05746,1.36024,2.89358,1.33236,0.005,1,0.51179,0.41947,0.44898,2.5719,1.0931,3.9208e-05,3.9208e-05,3.9208e-05
4,1.25153,1.4501,3.02558,1.28016,0.005,1,0.83,0.68167,0.36508,2.55784,1.03588,5.8218e-05,5.8218e-05,5.8218e-05
5,1.42474,1.12852,2.90784,1.21613,0.005,1,0.995,0.72979,0.32106,2.53581,0.95611,7.6832e-05,7.6832e-05,7.6832e-05
6,1.61218,1.01139,2.53695,1.21218,0.005,1,0.995,0.95106,0.31329,2.51937,0.93632,9.505e-05,9.505e-05,9.505e-05
7,1.81369,0.79605,2.44871,1.04782,0.005,1,0.995,0.95106,0.30826,2.49236,0.9297,0.000112872,0.000112872,0.000112872
8,2.02975,0.64433,2.38072,0.97309,0.005,1,0.995,0.93989,0.32261,2.45142,0.91716,0.000130298,0.000130298,0.000130298
9,2.23253,0.86711,2.22152,1.04342,0.005,1,0.995,0.93989,0.33255,2.39541,0.90171,0.000147328,0.000147328,0.000147328
10,2.43039,0.70643,1.98976,0.94107,0.005,1,0.995,0.90672,0.39083,2.29212,0.90946,0.000163962,0.000163962,0.000163962
11,2.61621,0.74912,1.76906,0.93421,0.005,1,0.995,0.84039,0.45163,2.22495,0.98887,0.0001802,0.0001802,0.0001802
12,2.79163,0.8574,1.57002,1.00267,0.00667,1,0.995,0.81281,0.52423,2.15765,1.13755,0.000196042,0.000196042,0.000196042
13,3.00581,0.64481,1.27264,1.00394,0.01386,1,0.995,0.84039,0.49969,2.12188,1.04332,0.000211488,0.000211488,0.000211488
14,3.2537,0.64762,1.2261,1.0181,0.00791,1,0.995,0.92906,0.40447,2.13251,0.93392,0.000226538,0.000226538,0.000226538
15,3.4468,0.65004,1.02843,0.91827,0.01378,1,0.995,0.89611,0.42257,2.14375,0.95262,0.000241192,0.000241192,0.000241192
16,3.64744,0.77476,1.02153,0.91805,0.52421,1,0.995,0.86311,0.44353,2.17364,0.99816,0.00025545,0.00025545,0.00025545
17,3.83678,0.81934,1.00613,0.94415,0.57056,1,0.995,0.86311,0.46471,2.17072,1.06828,0.000269312,0.000269312,0.000269312
18,4.00251,0.65456,0.90657,0.92005,0.57056,1,0.995,0.86311,0.46471,2.17072,1.06828,0.000282778,0.000282778,0.000282778
19,4.95533,0.79129,0.99444,0.94122,0.80539,1,0.995,0.88511,0.53551,2.10217,1.1259,0.000295848,0.000295848,0.000295848
20,5.16292,0.66362,0.9011,0.97072,0.80539,1,0.995,0.88511,0.53551,2.10217,1.1259,0.000308522,0.000308522,0.000308522
21,5.34657,0.65969,0.87386,0.93007,0.8349,1,0.995,0.85156,0.53399,2.04347,1.1258,0.0003208,0.0003208,0.0003208
22,5.51292,0.5638,0.83689,0.89651,0.8349,1,0.995,0.85156,0.53399,2.04347,1.1258,0.000332682,0.000332682,0.000332682
23,5.69078,0.81894,0.95241,0.95626,0.78997,1,0.995,0.91231,0.44227,1.97973,1.07709,0.000344168,0.000344168,0.000344168
24,5.86328,0.6624,1.02836,1.03088,0.78997,1,0.995,0.91231,0.44227,1.97973,1.07709,0.000355258,0.000355258,0.000355258
25,6.04985,0.63706,0.88509,0.90465,0.98361,1,0.995,0.89611,0.45888,1.97688,1.12741,0.000365952,0.000365952,0.000365952
26,6.21873,0.63885,0.8898,0.96175,0.98361,1,0.995,0.89611,0.45888,1.97688,1.12741,0.00037625,0.00037625,0.00037625
27,6.39282,0.72134,0.85604,0.92513,1,0.94064,0.995,0.92911,0.46724,1.85934,1.09049,0.000386152,0.000386152,0.000386152
28,6.56215,0.57127,0.77042,0.9034,1,0.94064,0.995,0.92911,0.46724,1.85934,1.09049,0.000395658,0.000395658,0.000395658
29,6.75832,0.66373,0.81407,0.92303,0.95232,1,0.995,0.96206,0.45276,1.65333,1.03115,0.000404768,0.000404768,0.000404768
30,6.92925,0.48869,0.82034,0.90405,0.95232,1,0.995,0.96206,0.45276,1.65333,1.03115,0.000413482,0.000413482,0.000413482
31,7.11244,0.60639,0.71094,0.89185,1,0.91593,0.995,0.8955,0.56737,1.39591,1.04102,0.0004218,0.0004218,0.0004218
32,7.27891,0.5202,0.81309,0.93073,1,0.91593,0.995,0.8955,0.56737,1.39591,1.04102,0.000429722,0.000429722,0.000429722
33,7.46364,0.65154,0.78079,0.94587,0.96063,1,0.995,0.90672,0.4742,1.18983,1.01553,0.000437248,0.000437248,0.000437248
34,7.64121,0.54692,0.75686,0.8918,0.96063,1,0.995,0.90672,0.4742,1.18983,1.01553,0.000444378,0.000444378,0.000444378
35,7.81403,0.69456,0.75303,0.94279,0.97076,1,0.995,0.8955,0.47573,1.1536,1.0808,0.000451112,0.000451112,0.000451112
36,7.98149,0.61326,0.9249,0.91361,0.97076,1,0.995,0.8955,0.47573,1.1536,1.0808,0.00045745,0.00045745,0.00045745
37,8.16643,0.61091,0.73506,0.9016,0.96522,1,0.995,0.8955,0.47892,1.19385,1.11946,0.000463392,0.000463392,0.000463392
38,8.34846,0.59504,0.7358,0.88682,0.96522,1,0.995,0.8955,0.47892,1.19385,1.11946,0.000468938,0.000468938,0.000468938
39,8.5272,0.56434,0.73294,0.92743,0.9569,1,0.995,0.90672,0.46079,1.33064,1.07796,0.000474088,0.000474088,0.000474088
